rental_ID,user_ID,user_role,gadget_ID,gadget_name,gadget_category,rental_date,return_date,duration_days,daily_rate,total_cost,event_type,recommended_gadget,specific_event,event_priority,event_start_date,event_end_date,days_until_event,days_since_event_start,is_event_day,brand,gadget_subcategory,day_of_week,is_weekend,week_of_season,month,season,hour_of_day,time_period,is_holiday_season,year_level,course,major,has_personal_laptop,total_previous_rentals,avg_rental_duration,preferred_category,price_tier,spec_ram,spec_storage,spec_processor,battery_life,weight_kg,display_size,calculator_type,camera_megapixels,condition,rental_status,late_fee
R00199,U0152,Faculty,G011,Gadget_11,Laptop,2024-08-14 00:00:00,2024-08-18 00:00:00,4,185,740,Regular Week,Laptop,Regular Week,0,2024-08-10 00:00:00,2024-08-15 00:00:00,-4,4,TRUE,Dell,Ultrabook,Wednesday,FALSE,33,August,Rainy,11,Morning,FALSE,,BSIT,Programming,FALSE,29,5.666666667,Laptop,Premium,32GB,256GB,M2,12,1.48,13.5,,,Excellent,Returned,0
R00200,U0999,Student,G032,Gadget_32,Camera,2024-01-28 00:00:00,2024-02-04 00:00:00,7,200,1400,Regular Week,Laptop,Regular Week,0,2024-01-26 00:00:00,2024-01-31 00:00:00,-2,2,TRUE,Canon,DSLR,Sunday,TRUE,4,January,Dry,12,Morning,FALSE,2,BSIS,Programming,TRUE,26,5.666666667,Camera,Budget,,,,19,1.75,13.3,,48,Excellent,Returned,0
R00201,U0052,Faculty,G008,Gadget_8,Tablet,2024-02-21 00:00:00,2024-02-26 00:00:00,5,63,315,Regular Week,Laptop,Regular Week,0,2024-02-18 00:00:00,2024-02-23 00:00:00,-3,3,TRUE,Apple,iPad,Wednesday,FALSE,8,February,Dry,10,Morning,FALSE,,BSIT,Programming,TRUE,18,5.333333333,Tablet,Mid-range,,,,7,1.88,16.7,,,Excellent,Returned,0
R00202,U0755,Staff,G036,Gadget_36,Calculator,2024-03-19 00:00:00,2024-03-23 00:00:00,4,391,1564,Exam Week,Scientific Calculator,Exam Week,7,2024-03-15 00:00:00,2024-03-20 00:00:00,-4,4,TRUE,Casio,Scientific,Tuesday,FALSE,12,March,Dry,17,Afternoon,FALSE,,Engineering,Networking,TRUE,21,5.333333333,Calculator,Mid-range,,,,8,2.13,14.5,Graphing,,Fair,Returned,0
R00203,U0399,Faculty,G005,Gadget_5,Tablet,2024-10-18 00:00:00,2024-10-22 00:00:00,4,452,1808,Exam Week,Scientific Calculator,Exam Week,7,2024-10-14 00:00:00,2024-10-19 00:00:00,-4,4,TRUE,Apple,iPad,Friday,FALSE,42,October,Rainy,12,Morning,FALSE,,BSIT,Data Science,TRUE,11,4.333333333,Tablet,Budget,,,,18,1.88,13.6,,,Fair,Returned,0
R00204,U0065,Staff,G029,Gadget_29,Camera,2024-07-09 00:00:00,2024-07-10 00:00:00,1,161,161,Regular Week,Laptop,Regular Week,0,2024-07-06 00:00:00,2024-07-11 00:00:00,-3,3,TRUE,Canon,DSLR,Tuesday,FALSE,28,July,Rainy,12,Morning,FALSE,,BSIT,Data Science,FALSE,11,3,Camera,Mid-range,,,,8,2.14,13.1,,48,Fair,Returned,0
R00205,U0625,Student,G028,Gadget_28,Tablet,2024-09-06 00:00:00,2024-09-08 00:00:00,2,345,690,Regular Week,Laptop,Regular Week,0,2024-09-03 00:00:00,2024-09-08 00:00:00,-3,3,TRUE,Apple,iPad,Friday,FALSE,36,September,Rainy,13,Afternoon,FALSE,3,BSIS,Data Science,FALSE,5,2.333333333,Tablet,Mid-range,,,,13,2.38,15,,,Good,Returned,0
R00206,U0575,Staff,G046,Gadget_46,Projector,2024-10-25 00:00:00,2024-10-27 00:00:00,2,340,680,Exam Week,Scientific Calculator,Exam Week,7,2024-10-24 00:00:00,2024-10-29 00:00:00,-1,1,TRUE,Epson,HD Projector,Friday,FALSE,43,October,Rainy,16,Afternoon,FALSE,,Engineering,Programming,FALSE,8,1.666666667,Projector,Budget,,,,19,1.56,14.9,,,Fair,Returned,0
R00207,U0543,Student,G021,Gadget_21,Laptop,2024-08-24 00:00:00,2024-08-29 00:00:00,5,312,1560,Regular Week,Laptop,Regular Week,0,2024-08-23 00:00:00,2024-08-28 00:00:00,-1,1,TRUE,Dell,Ultrabook,Saturday,TRUE,34,August,Rainy,16,Afternoon,FALSE,4,Engineering,Programming,FALSE,16,3,Laptop,Budget,32GB,512GB,Intel i5,11,1.97,15.8,,,Excellent,Returned,0
R00208,U0786,Faculty,G022,Gadget_22,Calculator,2024-12-19 00:00:00,2024-12-23 00:00:00,4,265,1060,Regular Week,Laptop,Regular Week,0,2024-12-18 00:00:00,2024-12-23 00:00:00,-1,1,TRUE,Casio,Scientific,Thursday,FALSE,51,December,Dry,14,Afternoon,TRUE,,BSIS,Programming,FALSE,28,3.666666667,Calculator,Premium,,,,10,1.87,16.9,Basic,,Good,Returned,0
R00209,U0011,Student,G019,Gadget_19,Projector,2024-05-14 00:00:00,2024-05-15 00:00:00,1,240,240,Regular Week,Laptop,Regular Week,0,2024-05-12 00:00:00,2024-05-17 00:00:00,-2,2,TRUE,Epson,HD Projector,Tuesday,FALSE,20,May,Dry,12,Morning,FALSE,4,BSIS,Data Science,TRUE,7,3.333333333,Projector,Budget,,,,7,2.78,16.2,,,Excellent,Returned,0
R00210,U0175,Student,G005,Gadget_5,Tablet,2024-06-06 00:00:00,2024-06-08 00:00:00,2,452,904,Regular Week,Laptop,Regular Week,0,2024-06-03 00:00:00,2024-06-08 00:00:00,-3,3,TRUE,Apple,iPad,Thursday,FALSE,23,June,Rainy,12,Morning,FALSE,1,BSIS,Programming,FALSE,7,2.333333333,Tablet,Premium,,,,19,1.48,16.5,,,Excellent,Returned,0
R00211,U0895,Faculty,G026,Gadget_26,Camera,2024-06-22 00:00:00,2024-06-29 00:00:00,7,284,1988,Regular Week,Laptop,Regular Week,0,2024-06-21 00:00:00,2024-06-26 00:00:00,-1,1,TRUE,Canon,DSLR,Saturday,TRUE,25,June,Rainy,11,Morning,FALSE,,BSIT,Networking,TRUE,17,3.333333333,Camera,Budget,,,,5,2.97,12.1,,24,Good,Returned,0
R00212,U0271,Faculty,G034,Gadget_34,Tablet,2024-08-24 00:00:00,2024-08-25 00:00:00,1,82,82,Regular Week,Laptop,Regular Week,0,2024-08-23 00:00:00,2024-08-28 00:00:00,-1,1,TRUE,Apple,iPad,Saturday,TRUE,34,August,Rainy,15,Afternoon,FALSE,,Engineering,Data Science,TRUE,1,3.333333333,Tablet,Premium,,,,15,1.12,11.3,,,Excellent,Returned,0
R00213,U0248,Faculty,G028,Gadget_28,Tablet,2024-09-29 00:00:00,2024-10-06 00:00:00,7,345,2415,Regular Week,Laptop,Regular Week,0,2024-09-28 00:00:00,2024-10-03 00:00:00,-1,1,TRUE,Apple,iPad,Sunday,TRUE,39,September,Rainy,10,Morning,FALSE,,BSIT,Programming,TRUE,19,5,Tablet,Mid-range,,,,13,2.58,15,,,Excellent,Returned,0
R00214,U0809,Faculty,G006,Gadget_6,Camera,2024-02-02 00:00:00,2024-02-08 00:00:00,6,151,906,Regular Week,Laptop,Regular Week,0,2024-01-30 00:00:00,2024-02-04 00:00:00,-3,3,TRUE,Canon,DSLR,Friday,FALSE,5,February,Dry,8,Morning,FALSE,,BSIT,Data Science,TRUE,5,4.666666667,Camera,Premium,,,,8,1.12,14.3,,48,Fair,Returned,0
R00215,U0753,Staff,G006,Gadget_6,Camera,2024-11-23 00:00:00,2024-11-27 00:00:00,4,151,604,Regular Week,Laptop,Regular Week,0,2024-11-21 00:00:00,2024-11-26 00:00:00,-2,2,TRUE,Canon,DSLR,Saturday,TRUE,47,November,Rainy,9,Morning,FALSE,,BSIS,Data Science,FALSE,12,5.666666667,Camera,Premium,,,,13,2.45,13.3,,48,Excellent,Returned,0
R00216,U0978,Student,G039,Gadget_39,Camera,2024-04-26 00:00:00,2024-04-29 00:00:00,3,170,510,Regular Week,Laptop,Regular Week,0,2024-04-24 00:00:00,2024-04-29 00:00:00,-2,2,TRUE,Canon,DSLR,Friday,FALSE,17,April,Dry,17,Afternoon,TRUE,1,Engineering,Programming,TRUE,25,4.333333333,Camera,Premium,,,,8,1.15,11.6,,48,Fair,Returned,0
R00217,U0067,Staff,G021,Gadget_21,Laptop,2024-05-25 00:00:00,2024-05-28 00:00:00,3,312,936,Regular Week,Laptop,Regular Week,0,2024-05-22 00:00:00,2024-05-27 00:00:00,-3,3,TRUE,Dell,Ultrabook,Saturday,TRUE,21,May,Dry,9,Morning,FALSE,,BSIT,Programming,FALSE,18,3.333333333,Laptop,Premium,16GB,256GB,Intel i7,18,1.28,14.2,,,Excellent,Returned,0
R00218,U0518,Student,G044,Gadget_44,Calculator,2024-09-30 00:00:00,2024-10-06 00:00:00,6,112,672,Regular Week,Laptop,Regular Week,0,2024-09-27 00:00:00,2024-10-02 00:00:00,-3,3,TRUE,Casio,Scientific,Monday,FALSE,40,September,Rainy,8,Morning,FALSE,1,Engineering,Programming,FALSE,15,4,Calculator,Premium,,,,19,2.92,15.5,Basic,,Fair,Returned,0
R00219,U0372,Staff,G002,Gadget_2,Projector,2024-09-12 00:00:00,2024-09-14 00:00:00,2,98,196,Regular Week,Laptop,Regular Week,0,2024-09-08 00:00:00,2024-09-13 00:00:00,-4,4,TRUE,Epson,HD Projector,Thursday,FALSE,37,September,Rainy,15,Afternoon,FALSE,,BSIT,Data Science,FALSE,3,3.666666667,Projector,Premium,,,,16,2.96,14.8,,,Excellent,Returned,0
R00220,U0553,Faculty,G036,Gadget_36,Calculator,2024-01-04 00:00:00,2024-01-07 00:00:00,3,391,1173,Regular Week,Laptop,Regular Week,0,2024-01-01 00:00:00,2024-01-06 00:00:00,-3,3,TRUE,Casio,Scientific,Thursday,FALSE,1,January,Dry,13,Afternoon,FALSE,,BSIT,Networking,FALSE,18,3.666666667,Calculator,Budget,,,,11,1.76,13.8,Graphing,,Excellent,Returned,0
R00221,U0938,Faculty,G007,Gadget_7,Calculator,2024-06-26 00:00:00,2024-06-27 00:00:00,1,473,473,Regular Week,Laptop,Regular Week,0,2024-06-22 00:00:00,2024-06-27 00:00:00,-4,4,TRUE,Casio,Scientific,Wednesday,FALSE,26,June,Rainy,14,Afternoon,FALSE,,BSIS,Networking,TRUE,7,2,Calculator,Budget,,,,8,2.06,13.3,Scientific,,Excellent,Returned,0
R00222,U0436,Faculty,G005,Gadget_5,Tablet,2024-08-27 00:00:00,2024-08-29 00:00:00,2,452,904,Regular Week,Laptop,Regular Week,0,2024-08-25 00:00:00,2024-08-30 00:00:00,-2,2,TRUE,Apple,iPad,Tuesday,FALSE,35,August,Rainy,16,Afternoon,FALSE,,BSIT,Programming,FALSE,14,2,Tablet,Budget,,,,12,1.99,11.9,,,Fair,Returned,0
R00223,U0801,Faculty,G014,Gadget_14,Laptop,2024-12-19 00:00:00,2024-12-26 00:00:00,7,437,3059,Regular Week,Laptop,Regular Week,0,2024-12-18 00:00:00,2024-12-23 00:00:00,-1,1,TRUE,Dell,Ultrabook,Thursday,FALSE,51,December,Dry,13,Afternoon,TRUE,,BSCS,Networking,TRUE,4,3.333333333,Laptop,Mid-range,32GB,256GB,Intel i5,19,2.73,12.9,,,Excellent,Returned,0
R00224,U0981,Student,G039,Gadget_39,Camera,2024-10-21 00:00:00,2024-10-27 00:00:00,6,170,1020,Exam Week,Scientific Calculator,Exam Week,7,2024-10-19 00:00:00,2024-10-24 00:00:00,-2,2,TRUE,Canon,DSLR,Monday,FALSE,43,October,Rainy,17,Afternoon,FALSE,1,BSIS,Data Science,TRUE,27,5,Camera,Budget,,,,15,2.58,16.9,,48,Fair,Returned,0
R00225,U0965,Faculty,G028,Gadget_28,Tablet,2024-11-25 00:00:00,2024-11-29 00:00:00,4,345,1380,Regular Week,Laptop,Regular Week,0,2024-11-22 00:00:00,2024-11-27 00:00:00,-3,3,TRUE,Apple,iPad,Monday,FALSE,48,November,Rainy,14,Afternoon,FALSE,,Engineering,Programming,FALSE,13,5.666666667,Tablet,Premium,,,,6,1.6,15.2,,,Fair,Returned,0
R00226,U0027,Student,G034,Gadget_34,Tablet,2024-06-18 00:00:00,2024-06-19 00:00:00,1,82,82,Regular Week,Laptop,Regular Week,0,2024-06-16 00:00:00,2024-06-21 00:00:00,-2,2,TRUE,Apple,iPad,Tuesday,FALSE,25,June,Rainy,11,Morning,FALSE,4,BSIT,Data Science,TRUE,3,3.666666667,Tablet,Mid-range,,,,5,1.95,14.9,,,Fair,Returned,0
R00227,U0206,Staff,G013,Gadget_13,Tablet,2024-09-18 00:00:00,2024-09-20 00:00:00,2,358,716,Regular Week,Laptop,Regular Week,0,2024-09-15 00:00:00,2024-09-20 00:00:00,-3,3,TRUE,Apple,iPad,Wednesday,FALSE,38,September,Rainy,12,Morning,FALSE,,BSIT,Networking,TRUE,11,2.333333333,Tablet,Premium,,,,8,2.64,15.5,,,Excellent,Returned,0
R00228,U0408,Faculty,G014,Gadget_14,Laptop,2024-11-22 00:00:00,2024-11-28 00:00:00,6,437,2622,Regular Week,Laptop,Regular Week,0,2024-11-18 00:00:00,2024-11-23 00:00:00,-4,4,TRUE,Dell,Ultrabook,Friday,FALSE,47,November,Rainy,15,Afternoon,FALSE,,BSIT,Programming,FALSE,6,3,Laptop,Budget,32GB,1TB,Intel i5,19,2.54,14.7,,,Good,Returned,0
R00229,U0270,Staff,G001,Gadget_1,Laptop,2024-12-04 00:00:00,2024-12-09 00:00:00,5,332,1660,Regular Week,Laptop,Regular Week,0,2024-12-02 00:00:00,2024-12-07 00:00:00,-2,2,TRUE,Dell,Ultrabook,Wednesday,FALSE,49,December,Dry,10,Morning,TRUE,,BSIT,Networking,FALSE,23,4.333333333,Laptop,Premium,16GB,1TB,M2,5,1.47,11.6,,,Excellent,Returned,0
R00230,U0011,Student,G039,Gadget_39,Camera,2024-01-24 00:00:00,2024-01-26 00:00:00,2,170,340,Regular Week,Laptop,Regular Week,0,2024-01-21 00:00:00,2024-01-26 00:00:00,-3,3,TRUE,Canon,DSLR,Wednesday,FALSE,4,January,Dry,13,Afternoon,FALSE,4,Engineering,Programming,FALSE,15,4.333333333,Camera,Mid-range,,,,9,2.41,12.4,,32,Fair,Returned,0
R00231,U0386,Faculty,G018,Gadget_18,Calculator,2024-07-13 00:00:00,2024-07-14 00:00:00,1,445,445,Regular Week,Laptop,Regular Week,0,2024-07-09 00:00:00,2024-07-14 00:00:00,-4,4,TRUE,Casio,Scientific,Saturday,TRUE,28,July,Rainy,16,Afternoon,FALSE,,BSIS,Data Science,TRUE,1,2.666666667,Calculator,Mid-range,,,,12,1.02,11.7,Basic,,Good,Returned,0
R00232,U0536,Staff,G028,Gadget_28,Tablet,2024-10-07 00:00:00,2024-10-14 00:00:00,7,345,2415,Exam Week,Scientific Calculator,Exam Week,7,2024-10-05 00:00:00,2024-10-10 00:00:00,-2,2,TRUE,Apple,iPad,Monday,FALSE,41,October,Rainy,14,Afternoon,FALSE,,BSCS,Data Science,FALSE,8,3.333333333,Tablet,Premium,,,,17,2.72,12.1,,,Fair,Returned,0
R00233,U0370,Staff,G045,Gadget_45,Laptop,2024-08-28 00:00:00,2024-08-29 00:00:00,1,415,415,Regular Week,Laptop,Regular Week,0,2024-08-24 00:00:00,2024-08-29 00:00:00,-4,4,TRUE,Dell,Ultrabook,Wednesday,FALSE,35,August,Rainy,14,Afternoon,FALSE,,BSCS,Networking,FALSE,20,3,Laptop,Mid-range,8GB,256GB,Intel i5,16,1.48,11.9,,,Good,Returned,0
R00234,U0385,Faculty,G018,Gadget_18,Calculator,2024-08-06 00:00:00,2024-08-13 00:00:00,7,445,3115,Regular Week,Laptop,Regular Week,0,2024-08-03 00:00:00,2024-08-08 00:00:00,-3,3,TRUE,Casio,Scientific,Tuesday,FALSE,32,August,Rainy,12,Morning,FALSE,,BSIS,Programming,FALSE,2,5,Calculator,Mid-range,,,,12,2.87,13.8,Graphing,,Good,Returned,0
R00235,U0897,Staff,G036,Gadget_36,Calculator,2024-10-04 00:00:00,2024-10-11 00:00:00,7,391,2737,Exam Week,Scientific Calculator,Exam Week,7,2024-10-01 00:00:00,2024-10-06 00:00:00,-3,3,TRUE,Casio,Scientific,Friday,FALSE,40,October,Rainy,13,Afternoon,FALSE,,Engineering,Networking,FALSE,13,5,Calculator,Budget,,,,6,2.19,15.2,Graphing,,Fair,Returned,0
R00236,U0255,Staff,G022,Gadget_22,Calculator,2024-02-26 00:00:00,2024-03-01 00:00:00,4,265,1060,Regular Week,Laptop,Regular Week,0,2024-02-23 00:00:00,2024-02-28 00:00:00,-3,3,TRUE,Casio,Scientific,Monday,FALSE,9,February,Dry,11,Morning,FALSE,,BSCS,Data Science,FALSE,7,6,Calculator,Premium,,,,7,1.73,16.9,Scientific,,Good,Returned,0
R00237,U0214,Student,G012,Gadget_12,Tablet,2024-03-21 00:00:00,2024-03-27 00:00:00,6,61,366,Exam Week,Scientific Calculator,Exam Week,7,2024-03-20 00:00:00,2024-03-25 00:00:00,-1,1,TRUE,Apple,iPad,Thursday,FALSE,12,March,Dry,13,Afternoon,FALSE,1,Engineering,Data Science,TRUE,9,5.666666667,Tablet,Premium,,,,11,2.69,11.6,,,Good,Returned,0
R00238,U0753,Student,G005,Gadget_5,Tablet,2024-06-07 00:00:00,2024-06-10 00:00:00,3,452,1356,Regular Week,Laptop,Regular Week,0,2024-06-04 00:00:00,2024-06-09 00:00:00,-3,3,TRUE,Apple,iPad,Friday,FALSE,23,June,Rainy,12,Morning,FALSE,4,BSIT,Networking,TRUE,6,4.333333333,Tablet,Premium,,,,9,1.6,16.5,,,Good,Returned,0
R00239,U0565,Student,G030,Gadget_30,Laptop,2024-12-28 00:00:00,2025-01-04 00:00:00,7,170,1190,Regular Week,Laptop,Regular Week,0,2024-12-26 00:00:00,2024-12-31 00:00:00,-2,2,TRUE,Dell,Ultrabook,Saturday,TRUE,52,December,Dry,12,Morning,TRUE,1,Engineering,Programming,TRUE,29,5.333333333,Laptop,Budget,16GB,256GB,Intel i7,7,2.53,13.1,,,Excellent,Returned,0
R00240,U0478,Staff,G007,Gadget_7,Calculator,2024-05-17 00:00:00,2024-05-23 00:00:00,6,473,2838,Regular Week,Laptop,Regular Week,0,2024-05-16 00:00:00,2024-05-21 00:00:00,-1,1,TRUE,Casio,Scientific,Friday,FALSE,20,May,Dry,14,Afternoon,FALSE,,Engineering,Data Science,TRUE,11,5.333333333,Calculator,Mid-range,,,,11,1.28,15.3,Basic,,Excellent,Returned,0
R00241,U0392,Staff,G016,Gadget_16,Tablet,2024-03-19 00:00:00,2024-03-20 00:00:00,1,148,148,Exam Week,Scientific Calculator,Exam Week,7,2024-03-15 00:00:00,2024-03-20 00:00:00,-4,4,TRUE,Apple,iPad,Tuesday,FALSE,12,March,Dry,8,Morning,FALSE,,BSCS,Programming,TRUE,14,4.666666667,Tablet,Premium,,,,17,2.81,14.4,,,Excellent,Returned,0
R00242,U0049,Staff,G041,Gadget_41,Calculator,2024-12-01 00:00:00,2024-12-05 00:00:00,4,235,940,Regular Week,Laptop,Regular Week,0,2024-11-30 00:00:00,2024-12-05 00:00:00,-1,1,TRUE,Casio,Scientific,Sunday,TRUE,48,December,Dry,16,Afternoon,TRUE,,Engineering,Networking,FALSE,29,3.666666667,Calculator,Premium,,,,18,2.61,15.9,Graphing,,Fair,Returned,0
R00243,U0996,Faculty,G029,Gadget_29,Camera,2024-02-26 00:00:00,2024-02-29 00:00:00,3,161,483,Regular Week,Laptop,Regular Week,0,2024-02-24 00:00:00,2024-02-29 00:00:00,-2,2,TRUE,Canon,DSLR,Monday,FALSE,9,February,Dry,17,Afternoon,FALSE,,Engineering,Data Science,TRUE,13,2.666666667,Camera,Mid-range,,,,18,2.61,14.1,,48,Good,Returned,0
R00244,U0411,Faculty,G015,Gadget_15,Calculator,2024-07-18 00:00:00,2024-07-22 00:00:00,4,298,1192,Regular Week,Laptop,Regular Week,0,2024-07-15 00:00:00,2024-07-20 00:00:00,-3,3,TRUE,Casio,Scientific,Thursday,FALSE,29,July,Rainy,17,Afternoon,FALSE,,BSIT,Programming,TRUE,12,3.666666667,Calculator,Mid-range,,,,7,2.96,11.6,Scientific,,Excellent,Returned,0
R00245,U0066,Faculty,G036,Gadget_36,Calculator,2024-01-08 00:00:00,2024-01-09 00:00:00,1,391,391,Regular Week,Laptop,Regular Week,0,2024-01-05 00:00:00,2024-01-10 00:00:00,-3,3,TRUE,Casio,Scientific,Monday,FALSE,2,January,Dry,9,Morning,FALSE,,Engineering,Networking,TRUE,29,2.666666667,Calculator,Budget,,,,18,2.26,14.8,Basic,,Fair,Returned,0
R00246,U0399,Staff,G039,Gadget_39,Camera,2024-02-14 00:00:00,2024-02-20 00:00:00,6,170,1020,Regular Week,Laptop,Regular Week,0,2024-02-11 00:00:00,2024-02-16 00:00:00,-3,3,TRUE,Canon,DSLR,Wednesday,FALSE,7,February,Dry,11,Morning,FALSE,,Engineering,Programming,TRUE,8,3.666666667,Camera,Budget,,,,12,1.17,13.8,,32,Good,Returned,0
R00247,U0281,Faculty,G001,Gadget_1,Laptop,2024-10-17 00:00:00,2024-10-23 00:00:00,6,332,1992,Exam Week,Scientific Calculator,Exam Week,7,2024-10-15 00:00:00,2024-10-20 00:00:00,-2,2,TRUE,Dell,Ultrabook,Thursday,FALSE,42,October,Rainy,17,Afternoon,FALSE,,BSCS,Data Science,TRUE,17,4.333333333,Laptop,Premium,16GB,512GB,Intel i7,18,1.55,16.7,,,Excellent,Returned,0
R00248,U0764,Staff,G050,Gadget_50,Laptop,2024-04-10 00:00:00,2024-04-16 00:00:00,6,483,2898,Regular Week,Laptop,Regular Week,0,2024-04-09 00:00:00,2024-04-14 00:00:00,-1,1,TRUE,Dell,Ultrabook,Wednesday,FALSE,15,April,Dry,13,Afternoon,TRUE,,BSIT,Programming,TRUE,23,6,Laptop,Premium,16GB,512GB,Intel i7,10,2.24,11.2,,,Excellent,Returned,0
R00249,U0438,Staff,G022,Gadget_22,Calculator,2024-03-23 00:00:00,2024-03-25 00:00:00,2,265,530,Exam Week,Scientific Calculator,Exam Week,7,2024-03-19 00:00:00,2024-03-24 00:00:00,-4,4,TRUE,Casio,Scientific,Saturday,TRUE,12,March,Dry,9,Morning,FALSE,,BSIT,Data Science,TRUE,1,4.666666667,Calculator,Premium,,,,13,2.93,15.9,Scientific,,Excellent,Returned,0
R00250,U0843,Faculty,G002,Gadget_2,Projector,2024-09-26 00:00:00,2024-09-29 00:00:00,3,98,294,Regular Week,Laptop,Regular Week,0,2024-09-22 00:00:00,2024-09-27 00:00:00,-4,4,TRUE,Epson,HD Projector,Thursday,FALSE,39,September,Rainy,16,Afternoon,FALSE,,BSCS,Networking,FALSE,3,3.666666667,Projector,Mid-range,,,,6,1.66,15.2,,,Good,Returned,0
R00251,U0649,Faculty,G010,Gadget_10,Camera,2024-12-19 00:00:00,2024-12-22 00:00:00,3,463,1389,Regular Week,Laptop,Regular Week,0,2024-12-17 00:00:00,2024-12-22 00:00:00,-2,2,TRUE,Canon,DSLR,Thursday,FALSE,51,December,Dry,8,Morning,TRUE,,BSIS,Programming,TRUE,24,2.666666667,Camera,Budget,,,,15,1.66,14,,48,Excellent,Returned,0
R00252,U0975,Student,G009,Gadget_9,Laptop,2024-05-29 00:00:00,2024-06-03 00:00:00,5,214,1070,Regular Week,Laptop,Regular Week,0,2024-05-26 00:00:00,2024-05-31 00:00:00,-3,3,TRUE,Dell,Ultrabook,Wednesday,FALSE,22,May,Dry,10,Morning,FALSE,3,BSIT,Programming,FALSE,24,3.666666667,Laptop,Mid-range,8GB,256GB,M2,17,2.58,16.6,,,Fair,Returned,0
R00253,U0670,Faculty,G006,Gadget_6,Camera,2024-07-13 00:00:00,2024-07-19 00:00:00,6,151,906,Regular Week,Laptop,Regular Week,0,2024-07-11 00:00:00,2024-07-16 00:00:00,-2,2,TRUE,Canon,DSLR,Saturday,TRUE,28,July,Rainy,15,Afternoon,FALSE,,BSIS,Programming,FALSE,3,4.666666667,Camera,Mid-range,,,,11,1.62,14.3,,48,Good,Returned,0
R00254,U0585,Staff,G042,Gadget_42,Laptop,2024-12-02 00:00:00,2024-12-03 00:00:00,1,219,219,Regular Week,Laptop,Regular Week,0,2024-11-30 00:00:00,2024-12-05 00:00:00,-2,2,TRUE,Dell,Ultrabook,Monday,FALSE,49,December,Dry,10,Morning,TRUE,,BSIS,Data Science,TRUE,18,4,Laptop,Mid-range,8GB,512GB,Intel i7,15,1.47,13,,,Fair,Returned,0
R00255,U0842,Faculty,G043,Gadget_43,Camera,2024-04-24 00:00:00,2024-04-26 00:00:00,2,223,446,Regular Week,Laptop,Regular Week,0,2024-04-23 00:00:00,2024-04-28 00:00:00,-1,1,TRUE,Canon,DSLR,Wednesday,FALSE,17,April,Dry,11,Morning,TRUE,,Engineering,Programming,FALSE,8,3,Camera,Budget,,,,17,2.25,14,,24,Excellent,Returned,0
R00256,U0118,Faculty,G009,Gadget_9,Laptop,2024-08-30 00:00:00,2024-08-31 00:00:00,1,214,214,Regular Week,Laptop,Regular Week,0,2024-08-29 00:00:00,2024-09-03 00:00:00,-1,1,TRUE,Dell,Ultrabook,Friday,FALSE,35,August,Rainy,13,Afternoon,FALSE,,BSIS,Networking,TRUE,8,1.333333333,Laptop,Premium,32GB,512GB,M2,11,2.97,16.4,,,Excellent,Returned,0
R00257,U0767,Faculty,G001,Gadget_1,Laptop,2024-12-08 00:00:00,2024-12-10 00:00:00,2,332,664,Regular Week,Laptop,Regular Week,0,2024-12-06 00:00:00,2024-12-11 00:00:00,-2,2,TRUE,Dell,Ultrabook,Sunday,TRUE,49,December,Dry,17,Afternoon,TRUE,,BSIS,Programming,TRUE,15,1.666666667,Laptop,Premium,8GB,256GB,Intel i7,14,1.62,11.7,,,Excellent,Returned,0
R00258,U0417,Staff,G041,Gadget_41,Calculator,2024-02-06 00:00:00,2024-02-13 00:00:00,7,235,1645,Regular Week,Laptop,Regular Week,0,2024-02-04 00:00:00,2024-02-09 00:00:00,-2,2,TRUE,Casio,Scientific,Tuesday,FALSE,6,February,Dry,14,Afternoon,FALSE,,BSIT,Networking,FALSE,27,3.333333333,Calculator,Mid-range,,,,15,1.45,12.3,Graphing,,Good,Returned,0
R00259,U0105,Staff,G029,Gadget_29,Camera,2024-07-31 00:00:00,2024-08-03 00:00:00,3,161,483,Regular Week,Laptop,Regular Week,0,2024-07-28 00:00:00,2024-08-02 00:00:00,-3,3,TRUE,Canon,DSLR,Wednesday,FALSE,31,July,Rainy,15,Afternoon,FALSE,,BSCS,Programming,TRUE,25,4,Camera,Premium,,,,15,2.86,11.1,,32,Excellent,Returned,0
R00260,U0851,Faculty,G027,Gadget_27,Laptop,2024-11-26 00:00:00,2024-12-01 00:00:00,5,132,660,Regular Week,Laptop,Regular Week,0,2024-11-23 00:00:00,2024-11-28 00:00:00,-3,3,TRUE,Dell,Ultrabook,Tuesday,FALSE,48,November,Rainy,17,Afternoon,FALSE,,BSIS,Data Science,TRUE,26,5,Laptop,Mid-range,32GB,1TB,Intel i5,18,1.48,16.9,,,Excellent,Returned,0
R00261,U0623,Faculty,G003,Gadget_3,Camera,2024-11-30 00:00:00,2024-12-03 00:00:00,3,355,1065,Regular Week,Laptop,Regular Week,0,2024-11-29 00:00:00,2024-12-04 00:00:00,-1,1,TRUE,Canon,DSLR,Saturday,TRUE,48,November,Rainy,15,Afternoon,FALSE,,BSIS,Networking,FALSE,12,3.666666667,Camera,Mid-range,,,,6,1.84,14.1,,24,Good,Returned,0
